13/6/2012	9405	8709	7540	6502	2140	9258	1533	8303	5992	7612	3763	3431	8839	á	á	á	4213	8513	5236	9944	2193	5464	8432	5877	5347	6738
10/6/2012	4496	5297	8585	1841	7787	9957	3998	9551	1812	7056	8294	5621	3306	á	á	á	5654	5576	792	5937	6049	1571	3575	454	4504	2002
9/6/2012	109	7072	80	8026	6496	6499	8470	2478	1862	691	5885	2087	3752	á	á	á	117	298	1453	7832	9442	8744	7633	9451	5585	7976
6/6/2012	611	1472	7584	3833	9619	9124	7924	6419	4902	330	6044	150	3997	á	á	á	2243	2243	1685	4974	2317	7402	3373	5770	8828	2450
3/6/2012	7914	4104	744	3250	9251	2184	5292	3256	4918	1893	7272	2150	9654	á	á	á	1925	2655	3178	8728	3022	1298	5885	8176	3869	4120
2/6/2012	6725	4021	1469	4716	7146	9708	991	700	4818	4914	3752	566	7844	á	á	á	9356	1133	7131	5165	1111	3400	3182	1149	3130	8151
30/5/2012	7896	5354	7051	62	2360	9216	5864	3450	3641	7411	2930	9777	3788	á	á	á	360	9640	7137	1107	303	6644	8248	3171	9049	2495
29/5/2012	2516	6201	3181	3029	3987	6824	1087	6027	315	3374	3276	7661	5189	á	á	á	3540	3682	1632	2191	5711	706	5428	451	2265	4929
27/5/2012	4217	5959	7442	7120	3615	308	846	4809	4862	2691	346	4705	4581	á	á	á	6390	5929	274	414	8288	7270	5398	7687	1465	2522
26/5/2012	997	8071	1632	7763	3002	9937	7366	2716	9272	4241	7780	864	6218	á	á	á	8517	9784	6106	7305	2642	8535	322	7713	8422	7631
23/5/2012	9777	4616	661	1635	1486	3623	3151	6889	338	2374	3837	9903	3111	á	á	á	9940	259	574	5654	2021	5231	2626	5577	576	8493
20/5/2012	8780	7347	1887	883	5713	4172	1689	7880	6969	3164	602	6710	1100	á	á	á	7567	3091	9681	9000	7238	6694	2950	7304	7664	5334
19/5/2012	5935	430	3143	4464	9757	8358	8395	436	5604	3613	1472	8696	3226	á	á	á	2938	8524	206	7052	5037	6685	7821	8726	9638	5686
16/5/2012	9985	3574	3497	8463	6288	7324	534	2874	8763	4429	7958	4334	8330	á	á	á	9267	5093	3694	2337	8277	3590	4269	7367	4135	2022
13/5/2012	5353	3934	3788	426	9100	5171	7887	1216	9496	9866	6893	1913	3183	á	á	á	2187	7634	4354	7069	8514	9502	5472	9150	8579	3558
12/5/2012	3167	9604	8366	7604	5516	7410	5406	4774	6177	4264	6494	6264	4051	á	á	á	8136	7207	9453	38	5716	6711	2649	5109	4425	8712
9/5/2012	3210	2072	4922	7484	3936	5703	1423	482	2787	3625	453	9333	8657	á	á	á	9837	9523	4429	6077	7118	3728	7810	2094	996	8326
8/5/2012	4395	2045	3311	7679	8195	7866	1014	3741	6446	8983	7388	2069	8162	á	á	á	357	2901	4361	828	9469	8879	2988	532	5909	7996
6/5/2012	9920	2414	1811	7391	7605	9449	3017	1659	4768	2566	7319	4990	812	á	á	á	6899	3876	16	2398	6062	5569	2946	7542	4364	7490
5/5/2012	5168	8943	8783	9722	8747	2325	5297	6019	9480	7919	8740	3355	933	á	á	á	4181	6314	3215	4033	2474	4305	2680	4154	6023	3203
2/5/2012	7140	192	4362	9861	5224	2744	3827	5441	1538	5249	1317	570	2205	á	á	á	936	8005	9752	1606	7805	8886	3734	1144	5398	9963
29/4/2012	6543	1897	1203	3161	1468	2438	5112	6497	7760	6553	4306	5941	136	á	á	á	4426	3437	6906	1984	3630	1716	8563	1396	61	8711
28/4/2012	1207	7886	5517	8018	4944	3918	4834	8869	370	9003	2960	9695	273	á	á	á	5747	5156	3559	4905	1632	7695	3252	8249	2787	1425
25/4/2012	4104	3607	1184	6597	3321	8791	2992	8513	5745	4719	4971	6662	4827	á	á	á	2248	8021	1815	7299	9755	5797	3503	6454	6034	1170
22/4/2012	9737	8900	8603	1268	2644	6062	7164	2732	8055	9531	5979	4937	945	á	á	á	6292	5528	5732	6848	3319	3049	2378	5177	8137	915
